Time,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,pv_delta,op_delta
0,33.902,33.902,97.0368,0,0
60,33.902,33.902,97.0368,0,0
120,33.9017,33.9017,97.0368,-0.0003,0
180,33.9013,33.9013,97.0368,-0.0007,0
240,33.901,33.901,97.0368,-0.001,0
300,33.9009,33.9009,97.0368,-0.0011,0
360,33.9009,33.9009,97.0368,-0.0011,0
420,33.9011,33.9011,97.0368,-0.0009,0
480,33.9012,33.9012,97.0368,-0.0008,0
540,33.9015,33.9015,97.0368,-0.0005,0
600,33.9018,33.9018,97.0368,-0.0002,0
660,33.9021,33.9021,97.0368,1E-04,0
720,33.9024,33.9024,97.0368,0.0004,0
780,33.9025,33.9025,97.0368,0.0005,0
840,33.9026,33.9026,97.0368,0.0006,0
900,33.9026,33.9026,97.0368,0.0006,0
960,33.9026,33.9026,97.0368,0.0006,0
1020,33.9025,33.9025,97.0368,0.0005,0
1080,33.9025,33.9025,97.0368,0.0005,0
1140,33.9024,33.9024,97.0368,0.0004,0
1200,33.9023,33.9023,97.0368,0.0003,0
1260,33.9023,33.9023,97.0368,0.0003,0
1320,33.9022,33.9022,97.0368,0.0002,0
1380,33.9022,33.9022,97.0368,0.0002,0
1440,33.9021,33.9021,97.0368,1E-04,0
1500,33.9021,33.9021,97.0368,1E-04,0
1560,33.9021,33.9021,97.0368,1E-04,0
1620,33.9021,33.9021,97.0368,1E-04,0
1680,33.902,33.902,97.0368,0,0
1740,33.9019,33.9019,97.0368,-0.0001,0
1800,33.9018,33.9018,100,-0.0002,2.9632
1860,33.9055,33.9055,100,0.0035,2.9632
1920,33.9099,33.9099,100,0.0079,2.9632
1980,33.9136,33.9136,100,0.0116,2.9632
2040,33.9166,33.9166,100,0.0146,2.9632
2100,33.9187,33.9187,100,0.0167,2.9632
2160,33.9201,33.9201,100,0.0181,2.9632
2220,33.9212,33.9212,100,0.0192,2.9632
2280,33.9218,33.9218,100,0.0198,2.9632
2340,33.922,33.922,100,0.02,2.9632
2400,33.9221,33.9221,100,0.0201,2.9632
2460,33.9221,33.9221,100,0.0201,2.9632
2520,33.9221,33.9221,100,0.0201,2.9632
2580,33.9222,33.9222,100,0.0202,2.9632
2640,33.9225,33.9225,100,0.0205,2.9632
2700,33.9228,33.9228,100,0.0208,2.9632
2760,33.9231,33.9231,100,0.0211,2.9632
2820,33.9231,33.9231,100,0.0211,2.9632
2880,33.923,33.923,100,0.021,2.9632
2940,33.9231,33.9231,100,0.0211,2.9632
3000,33.9232,33.9232,100,0.0212,2.9632
3060,33.9234,33.9234,100,0.0214,2.9632
3120,33.9237,33.9237,100,0.0217,2.9632
3180,33.9239,33.9239,100,0.0219,2.9632
3240,33.924,33.924,100,0.022,2.9632
3300,33.9241,33.9241,100,0.0221,2.9632
3360,33.9242,33.9242,100,0.0222,2.9632
3420,33.9242,33.9242,100,0.0222,2.9632
3480,33.9243,33.9243,100,0.0223,2.9632
3540,33.9243,33.9243,100,0.0223,2.9632
3600,33.9244,33.9244,100,0.0224,2.9632
3660,33.9244,33.9244,100,0.0224,2.9632
3720,33.9244,33.9244,100,0.0224,2.9632
3780,33.9244,33.9244,100,0.0224,2.9632
3840,33.9244,33.9244,100,0.0224,2.9632
3900,33.9244,33.9244,100,0.0224,2.9632
3960,33.9244,33.9244,100,0.0224,2.9632
4020,33.9244,33.9244,100,0.0224,2.9632
4080,33.9245,33.9245,100,0.0225,2.9632
4140,33.9245,33.9245,100,0.0225,2.9632
4200,33.9246,33.9246,100,0.0226,2.9632
4260,33.9246,33.9246,100,0.0226,2.9632
4320,33.9247,33.9247,100,0.0227,2.9632
4380,33.9247,33.9247,100,0.0227,2.9632
4440,33.9248,33.9248,100,0.0228,2.9632
4500,33.9248,33.9248,100,0.0228,2.9632
4560,33.9249,33.9249,100,0.0229,2.9632
4620,33.9249,33.9249,100,0.0229,2.9632
4680,33.925,33.925,100,0.023,2.9632
4740,33.9251,33.9251,100,0.0231,2.9632
4800,33.9251,33.9251,100,0.0231,2.9632
4860,33.9252,33.9252,100,0.0232,2.9632
4920,33.9252,33.9252,100,0.0232,2.9632
4980,33.9253,33.9253,100,0.0233,2.9632
5040,33.9253,33.9253,100,0.0233,2.9632
5100,33.9254,33.9254,100,0.0234,2.9632
5160,33.9254,33.9254,100,0.0234,2.9632
5220,33.9255,33.9255,100,0.0235,2.9632
5280,33.9256,33.9256,100,0.0236,2.9632
5340,33.9256,33.9256,100,0.0236,2.9632
5400,33.9257,33.9257,100,0.0237,2.9632
5460,33.9257,33.9257,100,0.0237,2.9632
5520,33.9258,33.9258,100,0.0238,2.9632
5580,33.9258,33.9258,100,0.0238,2.9632
5640,33.9255,33.9255,100,0.0235,2.9632
5700,33.9252,33.9252,100,0.0232,2.9632
5760,33.925,33.925,100,0.023,2.9632
