Time,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,pv_delta,op_delta
0,33.268,33.268,44.6278,0,0
60,33.268,33.268,44.6278,0,0
120,33.268,33.268,44.6278,0,0
180,33.268,33.268,44.6278,0,0
240,33.268,33.268,44.6278,0,0
300,33.268,33.268,44.6278,0,0
360,33.268,33.268,44.6278,0,0
420,33.268,33.268,44.6278,0,0
480,33.268,33.268,44.6278,0,0
540,33.268,33.268,44.6278,0,0
600,33.268,33.268,44.6278,0,0
660,33.268,33.268,44.6278,0,0
720,33.268,33.268,44.6278,0,0
780,33.268,33.268,44.6278,0,0
840,33.268,33.268,44.6278,0,0
900,33.268,33.268,44.6278,0,0
960,33.268,33.268,44.6278,0,0
1020,33.268,33.268,44.6278,0,0
1080,33.268,33.268,44.6278,0,0
1140,33.268,33.268,44.6278,0,0
1200,33.268,33.268,44.6278,0,0
1260,33.2679,33.2679,44.6278,-0.0001,0
1320,33.2679,33.2679,44.6278,-0.0001,0
1380,33.2679,33.2679,44.6278,-0.0001,0
1440,33.2679,33.2679,44.6278,-0.0001,0
1500,33.268,33.268,44.6278,0,0
1560,33.268,33.268,44.6278,0,0
1620,33.268,33.268,44.6278,0,0
1680,33.268,33.268,44.6278,0,0
1740,33.268,33.268,44.6278,0,0
1800,33.268,33.268,48.63,0,4.0022
1860,33.2836,33.2836,48.63,0.0156,4.0022
1920,33.3024,33.3024,48.63,0.0344,4.0022
1980,33.3191,33.3191,48.63,0.0511,4.0022
2040,33.3326,33.3326,48.63,0.0646,4.0022
2100,33.3428,33.3428,48.63,0.0748,4.0022
2160,33.3503,33.3503,48.63,0.0823,4.0022
2220,33.3556,33.3556,48.63,0.0876,4.0022
2280,33.3593,33.3593,48.63,0.0913,4.0022
2340,33.3617,33.3617,48.63,0.0937,4.0022
2400,33.3634,33.3634,48.63,0.0954,4.0022
2460,33.3644,33.3644,48.63,0.0964,4.0022
2520,33.3652,33.3652,48.63,0.0972,4.0022
2580,33.3656,33.3656,48.63,0.0976,4.0022
2640,33.366,33.366,48.63,0.098,4.0022
2700,33.3663,33.3663,48.63,0.0983,4.0022
2760,33.3665,33.3665,48.63,0.0985,4.0022
2820,33.3667,33.3667,48.63,0.0987,4.0022
2880,33.3669,33.3669,48.63,0.0989,4.0022
2940,33.3671,33.3671,48.63,0.0991,4.0022
3000,33.3673,33.3673,48.63,0.0993,4.0022
3060,33.3676,33.3676,48.63,0.0996,4.0022
3120,33.3678,33.3678,48.63,0.0998,4.0022
3180,33.368,33.368,48.63,0.1,4.0022
3240,33.3683,33.3683,48.63,0.1003,4.0022
3300,33.3685,33.3685,48.63,0.1005,4.0022
3360,33.3688,33.3688,48.63,0.1008,4.0022
3420,33.369,33.369,48.63,0.101,4.0022
3480,33.3693,33.3693,48.63,0.1013,4.0022
3540,33.3695,33.3695,48.63,0.1015,4.0022
3600,33.3696,33.3696,48.63,0.1016,4.0022
3660,33.3697,33.3697,48.63,0.1017,4.0022
3720,33.3698,33.3698,48.63,0.1018,4.0022
3780,33.37,33.37,48.63,0.102,4.0022
3840,33.3703,33.3703,48.63,0.1023,4.0022
3900,33.3707,33.3707,48.63,0.1027,4.0022
3960,33.3711,33.3711,48.63,0.1031,4.0022
4020,33.3716,33.3716,48.63,0.1036,4.0022
4080,33.372,33.372,48.63,0.104,4.0022
4140,33.3723,33.3723,48.63,0.1043,4.0022
4200,33.3726,33.3726,48.63,0.1046,4.0022
4260,33.3729,33.3729,48.63,0.1049,4.0022
4320,33.3732,33.3732,48.63,0.1052,4.0022
4380,33.3734,33.3734,48.63,0.1054,4.0022
4440,33.3737,33.3737,48.63,0.1057,4.0022
4500,33.3739,33.3739,48.63,0.1059,4.0022
4560,33.3742,33.3742,48.63,0.1062,4.0022
4620,33.3744,33.3744,48.63,0.1064,4.0022
4680,33.3746,33.3746,48.63,0.1066,4.0022
4740,33.3748,33.3748,48.63,0.1068,4.0022
4800,33.3751,33.3751,48.63,0.1071,4.0022
4860,33.3754,33.3754,48.63,0.1074,4.0022
4920,33.3756,33.3756,48.63,0.1076,4.0022
4980,33.3759,33.3759,48.63,0.1079,4.0022
5040,33.3762,33.3762,48.63,0.1082,4.0022
5100,33.3764,33.3764,48.63,0.1084,4.0022
5160,33.3767,33.3767,48.63,0.1087,4.0022
5220,33.377,33.377,48.63,0.109,4.0022
5280,33.3772,33.3772,48.63,0.1092,4.0022
5340,33.3775,33.3775,48.63,0.1095,4.0022
5400,33.3778,33.3778,48.63,0.1098,4.0022
5460,33.378,33.378,48.63,0.11,4.0022
5520,33.3783,33.3783,48.63,0.1103,4.0022
5580,33.3786,33.3786,48.63,0.1106,4.0022
5640,33.3788,33.3788,48.63,0.1108,4.0022
5700,33.3791,33.3791,48.63,0.1111,4.0022
5760,33.3793,33.3793,48.63,0.1113,4.0022
5820,33.3796,33.3796,48.63,0.1116,4.0022
5880,33.3799,33.3799,48.63,0.1119,4.0022
5940,33.3801,33.3801,48.63,0.1121,4.0022
