Time,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,pv_delta,op_delta
0,33.7435,33.7435,76.6963,0,0
60,33.7435,33.7435,76.6963,0,0
120,33.7433,33.7433,76.6963,-0.0002,0
180,33.743,33.743,76.6963,-0.0005,0
240,33.7427,33.7427,76.6963,-0.0008,0
300,33.7425,33.7425,76.6963,-0.001,0
360,33.7424,33.7424,76.6963,-0.0011,0
420,33.7424,33.7424,76.6963,-0.0011,0
480,33.7426,33.7426,76.6963,-0.0009,0
540,33.7427,33.7427,76.6963,-0.0008,0
600,33.7429,33.7429,76.6963,-0.0006,0
660,33.7431,33.7431,76.6963,-0.0004,0
720,33.7434,33.7434,76.6963,-1E-04,0
780,33.7436,33.7436,76.6963,0.0001,0
840,33.7439,33.7439,76.6963,0.0004,0
900,33.744,33.744,76.6963,0.0005,0
960,33.7441,33.7441,76.6963,0.0006,0
1020,33.7441,33.7441,76.6963,0.0006,0
1080,33.7441,33.7441,76.6963,0.0006,0
1140,33.7439,33.7439,76.6963,0.0004,0
1200,33.7435,33.7435,76.6963,0,0
1260,33.7432,33.7432,76.6963,-0.0003,0
1320,33.743,33.743,76.6963,-0.0005,0
1380,33.7429,33.7429,76.6963,-0.0006,0
1440,33.7429,33.7429,76.6963,-0.0006,0
1500,33.7429,33.7429,76.6963,-0.0006,0
1560,33.743,33.743,76.6963,-0.0005,0
1620,33.7431,33.7431,76.6963,-0.0004,0
1680,33.7433,33.7433,76.6963,-0.0002,0
1740,33.7435,33.7435,76.6963,0,0
1800,33.7437,33.7437,80.7,0.0002,4.0037
1860,33.751,33.751,80.7,0.0075,4.0037
1920,33.7592,33.7592,80.7,0.0157,4.0037
1980,33.7664,33.7664,80.7,0.0229,4.0037
2040,33.772,33.772,80.7,0.0285,4.0037
2100,33.7762,33.7762,80.7,0.0327,4.0037
2160,33.7794,33.7794,80.7,0.0359,4.0037
2220,33.7814,33.7814,80.7,0.0379,4.0037
2280,33.7827,33.7827,80.7,0.0392,4.0037
2340,33.7835,33.7835,80.7,0.04,4.0037
2400,33.7841,33.7841,80.7,0.0406,4.0037
2460,33.7846,33.7846,80.7,0.0411,4.0037
2520,33.7851,33.7851,80.7,0.0416,4.0037
2580,33.7856,33.7856,80.7,0.0421,4.0037
2640,33.7859,33.7859,80.7,0.0424,4.0037
2700,33.7862,33.7862,80.7,0.0427,4.0037
2760,33.7863,33.7863,80.7,0.0428,4.0037
2820,33.7864,33.7864,80.7,0.0429,4.0037
2880,33.7865,33.7865,80.7,0.043,4.0037
2940,33.7865,33.7865,80.7,0.043,4.0037
3000,33.7866,33.7866,80.7,0.0431,4.0037
3060,33.7865,33.7865,80.7,0.043,4.0037
3120,33.7864,33.7864,80.7,0.0429,4.0037
3180,33.7862,33.7862,80.7,0.0427,4.0037
3240,33.7862,33.7862,80.7,0.0427,4.0037
