Time,TC Compressor - SP,TC Compressor - PV,TC Compressor - OP,pv_delta,op_delta
0,33.4265,33.4265,52.4591,0,0
60,33.4265,33.4265,52.4591,0,0
120,33.4265,33.4265,52.4591,0,0
180,33.4265,33.4265,52.4591,0,0
240,33.4265,33.4265,52.4591,0,0
300,33.4265,33.4265,52.4591,0,0
360,33.4265,33.4265,52.4591,0,0
420,33.4265,33.4265,52.4591,0,0
480,33.4265,33.4265,52.4591,0,0
540,33.4265,33.4265,52.4591,0,0
600,33.4265,33.4265,52.4591,0,0
660,33.4265,33.4265,52.4591,0,0
720,33.4265,33.4265,52.4591,0,0
780,33.4264,33.4264,52.4591,-1E-04,0
840,33.4264,33.4264,52.4591,-1E-04,0
900,33.4264,33.4264,52.4591,-1E-04,0
960,33.4264,33.4264,52.4591,-1E-04,0
1020,33.4264,33.4264,52.4591,-1E-04,0
1080,33.4261,33.4261,52.4591,-0.0004,0
1140,33.4258,33.4258,52.4591,-0.0007,0
1200,33.4255,33.4255,52.4591,-0.001,0
1260,33.4253,33.4253,52.4591,-0.0012,0
1320,33.4251,33.4251,52.4591,-0.0014,0
1380,33.4251,33.4251,52.4591,-0.0014,0
1440,33.4252,33.4252,52.4591,-0.0013,0
1500,33.4253,33.4253,52.4591,-0.0012,0
1560,33.4256,33.4256,52.4591,-0.0009,0
1620,33.4258,33.4258,52.4591,-0.0007,0
1680,33.4261,33.4261,52.4591,-0.0004,0
1740,33.4263,33.4263,52.4591,-0.0002,0
1800,33.4266,33.4266,56.46,0.0001,4.0009
1860,33.4396,33.4396,56.46,0.0131,4.0009
1920,33.4552,33.4552,56.46,0.0287,4.0009
1980,33.4688,33.4688,56.46,0.0423,4.0009
2040,33.4793,33.4793,56.46,0.0528,4.0009
2100,33.4871,33.4871,56.46,0.0606,4.0009
2160,33.4926,33.4926,56.46,0.0661,4.0009
2220,33.4963,33.4963,56.46,0.0698,4.0009
2280,33.4989,33.4989,56.46,0.0724,4.0009
2340,33.5005,33.5005,56.46,0.074,4.0009
2400,33.5016,33.5016,56.46,0.0751,4.0009
2460,33.5024,33.5024,56.46,0.0759,4.0009
2520,33.5028,33.5028,56.46,0.0763,4.0009
2580,33.5031,33.5031,56.46,0.0766,4.0009
2640,33.5033,33.5033,56.46,0.0768,4.0009
2700,33.5036,33.5036,56.46,0.0771,4.0009
2760,33.5038,33.5038,56.46,0.0773,4.0009
2820,33.504,33.504,56.46,0.0775,4.0009
2880,33.5042,33.5042,56.46,0.0777,4.0009
2940,33.5044,33.5044,56.46,0.0779,4.0009
3000,33.5046,33.5046,56.46,0.0781,4.0009
3060,33.5048,33.5048,56.46,0.0783,4.0009
3120,33.505,33.505,56.46,0.0785,4.0009
3180,33.5052,33.5052,56.46,0.0787,4.0009
3240,33.5053,33.5053,56.46,0.0788,4.0009
3300,33.5055,33.5055,56.46,0.079,4.0009
3360,33.5057,33.5057,56.46,0.0792,4.0009
3420,33.5059,33.5059,56.46,0.0794,4.0009
3480,33.5061,33.5061,56.46,0.0796,4.0009
3540,33.5063,33.5063,56.46,0.0798,4.0009
3600,33.5065,33.5065,56.46,0.08,4.0009
3660,33.5067,33.5067,56.46,0.0802,4.0009
3720,33.507,33.507,56.46,0.0805,4.0009
3780,33.5072,33.5072,56.46,0.0807,4.0009
3840,33.5074,33.5074,56.46,0.0809,4.0009
3900,33.5076,33.5076,56.46,0.0811,4.0009
3960,33.5078,33.5078,56.46,0.0813,4.0009
4020,33.508,33.508,56.46,0.0815,4.0009
4080,33.5082,33.5082,56.46,0.0817,4.0009
4140,33.5084,33.5084,56.46,0.0819,4.0009
4200,33.5086,33.5086,56.46,0.0821,4.0009
4260,33.5088,33.5088,56.46,0.0823,4.0009
